"Medicare Risk Adjustment Model CPT/HCPCS Filtering Included List, Calendar Year (CY) 2015",,
CPT only copyright 2015 American Medical Association.  All rights reserved.,,
HCPCS/CPT Code,2015 Short Description,In CY2015 Included List?
37217,Stent placemt retro carotid,yes
37218,Stent placemt ante carotid,yes
37220,Iliac revasc,yes
37221,Iliac revasc w/stent,yes
37224,Fem/popl revas w/tla,yes
37225,Fem/popl revas w/ather,yes
37226,Fem/popl revasc w/stent,yes
37227,Fem/popl revasc stnt & ather,yes
37228,Tib/per revasc w/tla,yes
37229,Tib/per revasc w/ather,yes
37230,Tib/per revasc w/stent,yes
37231,Tib/per revasc stent & ather,yes
37236,Open/perq place stent 1st,yes
37238,Open/perq place stent same,yes
37241,Vasc embolize/occlude venous,yes
37242,Vasc embolize/occlude artery,yes
37243,Vasc embolize/occlude organ,yes
37244,Vasc embolize/occlude bleed,yes
37500,Endoscopy ligate perf veins,yes
37501,Vascular endoscopy procedure,yes
37565,Ligation of neck vein,yes
37600,Ligation of neck artery,yes
37605,Ligation of neck artery,yes
37606,Ligation of neck artery,yes
37607,Ligation of a-v fistula,yes
37609,Temporal artery procedure,yes
37615,Ligation of neck artery,yes
37616,Ligation of chest artery,yes
37617,Ligation of abdomen artery,yes
37618,Ligation of extremity artery,yes
37619,Ligation of inf vena cava,yes
37650,Revision of major vein,yes
37660,Revision of major vein,yes
37700,Revise leg vein,yes
37718,Ligate/strip short leg vein,yes
37722,Ligate/strip long leg vein,yes
37735,Removal of leg veins/lesion,yes
37760,Ligate leg veins radical,yes
37761,Ligate leg veins open,yes
37765,Stab phleb veins xtr 10-20,yes
37766,Phleb veins - extrem 20+,yes
37780,Revision of leg vein,yes
37785,Ligate/divide/excise vein,yes
37788,Revascularization penis,yes
37790,Penile venous occlusion,yes
37799,Vascular surgery procedure,yes
38100,Removal of spleen total,yes
38101,Removal of spleen partial,yes
38115,Repair of ruptured spleen,yes
38120,Laparoscopy splenectomy,yes
38129,Laparoscope proc spleen,yes
38204,Bl donor search management,yes
38205,Harvest allogeneic stem cell,yes
38206,Harvest auto stem cells,yes
38207,Cryopreserve stem cells,yes
38208,Thaw preserved stem cells,yes
38209,Wash harvest stem cells,yes
38210,T-cell depletion of harvest,yes
38211,Tumor cell deplete of harvst,yes
38212,Rbc depletion of harvest,yes
38213,Platelet deplete of harvest,yes
38214,Volume deplete of harvest,yes
38215,Harvest stem cell concentrte,yes
38220,Bone marrow aspiration,yes
38230,Bone marrow harvest allogen,yes
38232,Bone marrow harvest autolog,yes
38240,Transplt allo hct/donor,yes
38241,Transplt autol hct/donor,yes
38242,Transplt allo lymphocytes,yes
38243,Transplj hematopoietic boost,yes
38300,Drainage lymph node lesion,yes
38305,Drainage lymph node lesion,yes
38308,Incision of lymph channels,yes
38380,Thoracic duct procedure,yes
38381,Thoracic duct procedure,yes
38382,Thoracic duct procedure,yes
38500,Biopsy/removal lymph nodes,yes
38505,Needle biopsy lymph nodes,yes
38510,Biopsy/removal lymph nodes,yes
38520,Biopsy/removal lymph nodes,yes
38525,Biopsy/removal lymph nodes,yes
38530,Biopsy/removal lymph nodes,yes
38542,Explore deep node(s) neck,yes
38550,Removal neck/armpit lesion,yes
38555,Removal neck/armpit lesion,yes
38562,Removal pelvic lymph nodes,yes
38564,Removal abdomen lymph nodes,yes
38570,Laparoscopy lymph node biop,yes
38571,Laparoscopy lymphadenectomy,yes
38572,Laparoscopy lymphadenectomy,yes
38589,Laparoscope proc lymphatic,yes
38700,Removal of lymph nodes neck,yes
38720,Removal of lymph nodes neck,yes
38724,Removal of lymph nodes neck,yes
38740,Remove armpit lymph nodes,yes
38745,Remove armpit lymph nodes,yes
38760,Remove groin lymph nodes,yes
38765,Remove groin lymph nodes,yes
38770,Remove pelvis lymph nodes,yes
38780,Remove abdomen lymph nodes,yes
38794,Access thoracic lymph duct,yes
38999,Blood/lymph system procedure,yes
39000,Exploration of chest,yes
39010,Exploration of chest,yes
39200,Resect mediastinal cyst,yes
39220,Resect mediastinal tumor,yes
39400,Mediastinoscopy incl biopsy,yes
39499,Chest procedure,yes
39501,Repair diaphragm laceration,yes
39503,Repair of diaphragm hernia,yes
39540,Repair of diaphragm hernia,yes
39541,Repair of diaphragm hernia,yes
39545,Revision of diaphragm,yes
39560,Resect diaphragm simple,yes
39561,Resect diaphragm complex,yes
39599,Diaphragm surgery procedure,yes
40500,Partial excision of lip,yes
40510,Partial excision of lip,yes
40520,Partial excision of lip,yes
40525,Reconstruct lip with flap,yes
40527,Reconstruct lip with flap,yes
40530,Partial removal of lip,yes
40650,Repair lip,yes
40652,Repair lip,yes
40654,Repair lip,yes
40700,Repair cleft lip/nasal,yes
40701,Repair cleft lip/nasal,yes
40702,Repair cleft lip/nasal,yes
40720,Repair cleft lip/nasal,yes
40761,Repair cleft lip/nasal,yes
40799,Lip surgery procedure,yes
40800,Drainage of mouth lesion,yes
40801,Drainage of mouth lesion,yes
40804,Removal foreign body mouth,yes
40805,Removal foreign body mouth,yes
40806,Incision of lip fold,yes
40810,Excision of mouth lesion,yes
40812,Excise/repair mouth lesion,yes
40814,Excise/repair mouth lesion,yes
40816,Excision of mouth lesion,yes
40818,Excise oral mucosa for graft,yes
40819,Excise lip or cheek fold,yes
40820,Treatment of mouth lesion,yes
40830,Repair mouth laceration,yes
40831,Repair mouth laceration,yes
40840,Reconstruction of mouth,yes
40842,Reconstruction of mouth,yes
40843,Reconstruction of mouth,yes
40844,Reconstruction of mouth,yes
40845,Reconstruction of mouth,yes
40899,Mouth surgery procedure,yes
41000,Drainage of mouth lesion,yes
41005,Drainage of mouth lesion,yes
41006,Drainage of mouth lesion,yes
41007,Drainage of mouth lesion,yes
41008,Drainage of mouth lesion,yes
41009,Drainage of mouth lesion,yes
41010,Incision of tongue fold,yes
41015,Drainage of mouth lesion,yes
41016,Drainage of mouth lesion,yes
41017,Drainage of mouth lesion,yes
41018,Drainage of mouth lesion,yes
41110,Excision of tongue lesion,yes
41112,Excision of tongue lesion,yes
41113,Excision of tongue lesion,yes
41114,Excision of tongue lesion,yes
41115,Excision of tongue fold,yes
41116,Excision of mouth lesion,yes
41120,Partial removal of tongue,yes
41130,Partial removal of tongue,yes
41135,Tongue and neck surgery,yes
41140,Removal of tongue,yes
41145,Tongue removal neck surgery,yes
41150,Tongue mouth jaw surgery,yes
41153,Tongue mouth neck surgery,yes
41155,Tongue jaw & neck surgery,yes
41250,Repair tongue laceration,yes
41251,Repair tongue laceration,yes
41252,Repair tongue laceration,yes
41500,Fixation of tongue,yes
41510,Tongue to lip surgery,yes
41512,Tongue suspension,yes
41520,Reconstruction tongue fold,yes
41530,Tongue base vol reduction,yes
41599,Tongue and mouth surgery,yes
41800,Drainage of gum lesion,yes
41805,Removal foreign body gum,yes
41806,Removal foreign body jawbone,yes
41820,Excision gum each quadrant,yes
41821,Excision of gum flap,yes
41822,Excision of gum lesion,yes
41823,Excision of gum lesion,yes
41825,Excision of gum lesion,yes
41826,Excision of gum lesion,yes
41827,Excision of gum lesion,yes
41828,Excision of gum lesion,yes
41830,Removal of gum tissue,yes
41850,Treatment of gum lesion,yes
41870,Gum graft,yes
41872,Repair gum,yes
41874,Repair tooth socket,yes
41899,Dental surgery procedure,yes
42000,Drainage mouth roof lesion,yes
42104,Excision lesion mouth roof,yes
42106,Excision lesion mouth roof,yes
42107,Excision lesion mouth roof,yes
42120,Remove palate/lesion,yes
42140,Excision of uvula,yes
42145,Repair palate pharynx/uvula,yes
42160,Treatment mouth roof lesion,yes
42180,Repair palate,yes
42182,Repair palate,yes
42200,Reconstruct cleft palate,yes
42205,Reconstruct cleft palate,yes
42210,Reconstruct cleft palate,yes
42215,Reconstruct cleft palate,yes
42220,Reconstruct cleft palate,yes
42225,Reconstruct cleft palate,yes
42226,Lengthening of palate,yes
42227,Lengthening of palate,yes
42235,Repair palate,yes
42260,Repair nose to lip fistula,yes
42280,Preparation palate mold,yes
42281,Insertion palate prosthesis,yes
42299,Palate/uvula surgery,yes
42300,Drainage of salivary gland,yes
42305,Drainage of salivary gland,yes
42310,Drainage of salivary gland,yes
42320,Drainage of salivary gland,yes
42330,Removal of salivary stone,yes
42335,Removal of salivary stone,yes
42340,Removal of salivary stone,yes
42408,Excision of salivary cyst,yes
42409,Drainage of salivary cyst,yes
42410,Excise parotid gland/lesion,yes
42415,Excise parotid gland/lesion,yes
42420,Excise parotid gland/lesion,yes
42425,Excise parotid gland/lesion,yes
42426,Excise parotid gland/lesion,yes
42440,Excise submaxillary gland,yes
42450,Excise sublingual gland,yes
42500,Repair salivary duct,yes
42505,Repair salivary duct,yes
42507,Parotid duct diversion,yes
42509,Parotid duct diversion,yes
42510,Parotid duct diversion,yes
42600,Closure of salivary fistula,yes
42650,Dilation of salivary duct,yes
42660,Dilation of salivary duct,yes
42665,Ligation of salivary duct,yes
42699,Salivary surgery procedure,yes
42700,Drainage of tonsil abscess,yes
42720,Drainage of throat abscess,yes
42725,Drainage of throat abscess,yes
42808,Excise pharynx lesion,yes
42809,Remove pharynx foreign body,yes
42810,Excision of neck cyst,yes
42815,Excision of neck cyst,yes
42820,Remove tonsils and adenoids,yes
42821,Remove tonsils and adenoids,yes
42825,Removal of tonsils,yes
42826,Removal of tonsils,yes
42830,Removal of adenoids,yes
42831,Removal of adenoids,yes
42835,Removal of adenoids,yes
42836,Removal of adenoids,yes
42842,Extensive surgery of throat,yes
42844,Extensive surgery of throat,yes
42845,Extensive surgery of throat,yes
42860,Excision of tonsil tags,yes
42870,Excision of lingual tonsil,yes
42890,Partial removal of pharynx,yes
42892,Revision of pharyngeal walls,yes
42894,Revision of pharyngeal walls,yes
42900,Repair throat wound,yes
42950,Reconstruction of throat,yes
42953,Repair throat esophagus,yes
42955,Surgical opening of throat,yes
42960,Control throat bleeding,yes
42961,Control throat bleeding,yes
42962,Control throat bleeding,yes
42970,Control nose/throat bleeding,yes
42971,Control nose/throat bleeding,yes
42972,Control nose/throat bleeding,yes
42999,Throat surgery procedure,yes
43020,Incision of esophagus,yes
43030,Throat muscle surgery,yes
43045,Incision of esophagus,yes
43100,Excision of esophagus lesion,yes
43101,Excision of esophagus lesion,yes
43107,Removal of esophagus,yes
43108,Removal of esophagus,yes
43112,Removal of esophagus,yes
43113,Removal of esophagus,yes
43116,Partial removal of esophagus,yes
43117,Partial removal of esophagus,yes
43118,Partial removal of esophagus,yes
43121,Partial removal of esophagus,yes
43122,Partial removal of esophagus,yes
43123,Partial removal of esophagus,yes
43124,Removal of esophagus,yes
43130,Removal of esophagus pouch,yes
43135,Removal of esophagus pouch,yes
43180,Esophagoscopy rigid trnso,yes
43191,Esophagoscopy rigid trnso dx,yes
43192,Esophagoscp rig trnso inject,yes
43194,Esophagoscp rig trnso rem fb,yes
43195,Esophagoscopy rigid balloon,yes
43196,Esophagoscp guide wire dilat,yes
43197,Esophagoscopy flex dx brush,yes
43200,Esophagoscopy flexible brush,yes
43201,Esoph scope w/submucous inj,yes
43202,Esophagoscopy flex biopsy,yes
43204,Esoph scope w/sclerosis inj,yes
43205,Esophagus endoscopy/ligation,yes
43206,Esoph optical endomicroscopy,yes
43211,Esophagoscop mucosal resect,yes
43212,Esophagoscop stent placement,yes
43213,Esophagoscopy retro balloon,yes
43214,Esophagosc dilate balloon 30,yes
43215,Esophagoscopy flex remove fb,yes
43216,Esophagoscopy lesion removal,yes
43217,Esophagoscopy snare les remv,yes
43220,Esophagoscopy balloon <30mm,yes
43226,Esoph endoscopy dilation,yes
43227,Esophagoscopy control bleed,yes
43229,Esophagoscopy lesion ablate,yes
43231,Esophagoscop ultrasound exam,yes
43232,Esophagoscopy w/us needle bx,yes
43233,Egd balloon dil esoph30 mm/>,yes
43235,Egd diagnostic brush wash,yes
43236,Uppr gi scope w/submuc inj,yes
43237,Endoscopic us exam esoph,yes
43238,Egd us fine needle bx/aspir,yes
43239,Egd biopsy single/multiple,yes
43240,Egd w/transmural drain cyst,yes
43241,Egd tube/cath insertion,yes
43242,Egd us fine needle bx/aspir,yes
43243,Egd injection varices,yes
43244,Egd varices ligation,yes
43245,Egd dilate stricture,yes
43246,Egd place gastrostomy tube,yes
43247,Egd remove foreign body,yes
43248,Egd guide wire insertion,yes
43249,Esoph egd dilation <30 mm,yes
43250,Egd cautery tumor polyp,yes
43251,Egd remove lesion snare,yes
43252,Egd optical endomicroscopy,yes
43253,Egd us transmural injxn/mark,yes
43254,Egd endo mucosal resection,yes
43255,Egd control bleeding any,yes
43257,Egd w/thrml txmnt gerd,yes
43259,Egd us exam duodenum/jejunum,yes
43260,Ercp w/specimen collection,yes
43261,Endo cholangiopancreatograph,yes
43262,Endo cholangiopancreatograph,yes
43263,Ercp sphincter pressure meas,yes
43264,Ercp remove duct calculi,yes
43265,Ercp lithotripsy calculi,yes
43266,Egd endoscopic stent place,yes
43270,Egd lesion ablation,yes
43274,Ercp duct stent placement,yes
43275,Ercp remove forgn body duct,yes
43276,Ercp stent exchange w/dilate,yes
43277,Ercp ea duct/ampulla dilate,yes
43278,Ercp lesion ablate w/dilate,yes
43279,Lap myotomy heller,yes
43280,Laparoscopy fundoplasty,yes
43281,Lap paraesophag hern repair,yes
43282,Lap paraesoph her rpr w/mesh,yes
43289,Laparoscope proc esoph,yes
43300,Repair of esophagus,yes
43305,Repair esophagus and fistula,yes
43310,Repair of esophagus,yes
43312,Repair esophagus and fistula,yes
43313,Esophagoplasty congenital,yes
43314,Tracheo-esophagoplasty cong,yes
43320,Fuse esophagus & stomach,yes
43325,Revise esophagus & stomach,yes
43327,Esoph fundoplasty lap,yes
43328,Esoph fundoplasty thor,yes
43330,Esophagomyotomy abdominal,yes
43331,Esophagomyotomy thoracic,yes
43332,Transab esoph hiat hern rpr,yes
43333,Transab esoph hiat hern rpr,yes
43334,Transthor diaphrag hern rpr,yes
43335,Transthor diaphrag hern rpr,yes
43336,Thorabd diaphr hern repair,yes
43337,Thorabd diaphr hern repair,yes
43340,Fuse esophagus & intestine,yes
43341,Fuse esophagus & intestine,yes
43351,Surgical opening esophagus,yes
43352,Surgical opening esophagus,yes
43360,Gastrointestinal repair,yes
43361,Gastrointestinal repair,yes
43400,Ligate esophagus veins,yes
43401,Esophagus surgery for veins,yes
43405,Ligate/staple esophagus,yes
43410,Repair esophagus wound,yes
43415,Repair esophagus wound,yes
43420,Repair esophagus opening,yes
43425,Repair esophagus opening,yes
43450,Dilate esophagus 1/mult pass,yes
43453,Dilate esophagus,yes
43460,Pressure treatment esophagus,yes
43496,Free jejunum flap microvasc,yes
43499,Esophagus surgery procedure,yes
43500,Surgical opening of stomach,yes
43501,Surgical repair of stomach,yes
43502,Surgical repair of stomach,yes
43510,Surgical opening of stomach,yes
43520,Incision of pyloric muscle,yes
43610,Excision of stomach lesion,yes
43611,Excision of stomach lesion,yes
43620,Removal of stomach,yes
43621,Removal of stomach,yes
43622,Removal of stomach,yes
43631,Removal of stomach partial,yes
43632,Removal of stomach partial,yes
43633,Removal of stomach partial,yes
43634,Removal of stomach partial,yes
43640,Vagotomy & pylorus repair,yes
43641,Vagotomy & pylorus repair,yes
43644,Lap gastric bypass/roux-en-y,yes
43645,Lap gastr bypass incl smll i,yes
43647,Lap impl electrode antrum,yes
43648,Lap revise/remv eltrd antrum,yes
43651,Laparoscopy vagus nerve,yes
43652,Laparoscopy vagus nerve,yes
43653,Laparoscopy gastrostomy,yes
43659,Laparoscope proc stom,yes
43752,Nasal/orogastric w/tube plmt,yes
43753,Tx gastro intub w/asp,yes
43754,Dx gastr intub w/asp spec,yes
43755,Dx gastr intub w/asp specs,yes
43756,Dx duod intub w/asp spec,yes
43757,Dx duod intub w/asp specs,yes
43760,Change gastrostomy tube,yes
43761,Reposition gastrostomy tube,yes
43770,Lap place gastr adj device,yes
43771,Lap revise gastr adj device,yes
43772,Lap rmvl gastr adj device,yes
43773,Lap replace gastr adj device,yes
43774,Lap rmvl gastr adj all parts,yes
43775,Lap sleeve gastrectomy,yes
43800,Reconstruction of pylorus,yes
43810,Fusion of stomach and bowel,yes
43820,Fusion of stomach and bowel,yes
43825,Fusion of stomach and bowel,yes
43830,Place gastrostomy tube,yes
43831,Place gastrostomy tube,yes
43832,Place gastrostomy tube,yes
43840,Repair of stomach lesion,yes
43842,V-band gastroplasty,yes
43843,Gastroplasty w/o v-band,yes
43845,Gastroplasty duodenal switch,yes
43846,Gastric bypass for obesity,yes
43847,Gastric bypass incl small i,yes
43848,Revision gastroplasty,yes
43850,Revise stomach-bowel fusion,yes
43855,Revise stomach-bowel fusion,yes
43860,Revise stomach-bowel fusion,yes
43865,Revise stomach-bowel fusion,yes
43870,Repair stomach opening,yes
43880,Repair stomach-bowel fistula,yes
43881,Impl/redo electrd antrum,yes
43882,Revise/remove electrd antrum,yes
43886,Revise gastric port open,yes
43887,Remove gastric port open,yes
43888,Change gastric port open,yes
43999,Stomach surgery procedure,yes
44005,Freeing of bowel adhesion,yes
44010,Incision of small bowel,yes
44020,Explore small intestine,yes
44021,Decompress small bowel,yes
44025,Incision of large bowel,yes
44050,Reduce bowel obstruction,yes
44055,Correct malrotation of bowel,yes
44110,Excise intestine lesion(s),yes
44111,Excision of bowel lesion(s),yes
44120,Removal of small intestine,yes
44125,Removal of small intestine,yes
44126,Enterectomy w/o taper cong,yes
44127,Enterectomy w/taper cong,yes
44130,Bowel to bowel fusion,yes
44133,Enterectomy live donor,yes
44135,Intestine transplnt cadaver,yes
44136,Intestine transplant live,yes
44137,Remove intestinal allograft,yes
44140,Partial removal of colon,yes
44141,Partial removal of colon,yes
44143,Partial removal of colon,yes
44144,Partial removal of colon,yes
44145,Partial removal of colon,yes
44146,Partial removal of colon,yes
44147,Partial removal of colon,yes
44150,Removal of colon,yes
44151,Removal of colon/ileostomy,yes
44155,Removal of colon/ileostomy,yes
44156,Removal of colon/ileostomy,yes
44157,Colectomy w/ileoanal anast,yes
44158,Colectomy w/neo-rectum pouch,yes
44160,Removal of colon,yes
44180,Lap enterolysis,yes
44186,Lap jejunostomy,yes
44187,Lap ileo/jejuno-stomy,yes
44188,Lap colostomy,yes
44202,Lap enterectomy,yes
44204,Laparo partial colectomy,yes
44205,Lap colectomy part w/ileum,yes
44206,Lap part colectomy w/stoma,yes
44207,L colectomy/coloproctostomy,yes
44208,L colectomy/coloproctostomy,yes
44210,Laparo total proctocolectomy,yes
44211,Lap colectomy w/proctectomy,yes
44212,Laparo total proctocolectomy,yes
44227,Lap close enterostomy,yes
44238,Laparoscope proc intestine,yes
44300,Open bowel to skin,yes
44310,Ileostomy/jejunostomy,yes
44312,Revision of ileostomy,yes
44314,Revision of ileostomy,yes
44316,Devise bowel pouch,yes
44320,Colostomy,yes
44322,Colostomy with biopsies,yes
44340,Revision of colostomy,yes
44345,Revision of colostomy,yes
44346,Revision of colostomy,yes
44360,Small bowel endoscopy,yes
44361,Small bowel endoscopy/biopsy,yes
44363,Small bowel endoscopy,yes
44364,Small bowel endoscopy,yes
44365,Small bowel endoscopy,yes
44366,Small bowel endoscopy,yes
44369,Small bowel endoscopy,yes
44370,Small bowel endoscopy/stent,yes
44372,Small bowel endoscopy,yes
44373,Small bowel endoscopy,yes
44376,Small bowel endoscopy,yes
44377,Small bowel endoscopy/biopsy,yes
44378,Small bowel endoscopy,yes
44379,S bowel endoscope w/stent,yes
44380,Small bowel endoscopy br/wa,yes
44381,Small bowel endoscopy br/wa,yes
44382,Small bowel endoscopy,yes
44384,Small bowel endoscopy,yes
44385,Endoscopy of bowel pouch,yes
44386,Endoscopy bowel pouch/biop,yes
44388,Colonoscopy thru stoma spx,yes
44389,Colonoscopy with biopsy,yes
44390,Colonoscopy for foreign body,yes
44391,Colonoscopy for bleeding,yes
44392,Colonoscopy & polypectomy,yes
44394,Colonoscopy w/snare,yes
44401,Colonoscopy with ablation,yes
44402,Colonoscopy w/stent plcmt,yes
44403,Colonoscopy w/resection,yes
44404,Colonoscopy w/injection,yes
44405,Colonoscopy w/dilation,yes
44406,Colonoscopy w/ultrasound,yes
44407,Colonoscopy w/ndl aspir/bx,yes
44408,Colonoscopy w/decompression,yes
44500,Intro gastrointestinal tube,yes
44602,Suture small intestine,yes
44603,Suture small intestine,yes
44604,Suture large intestine,yes
44605,Repair of bowel lesion,yes
44615,Intestinal stricturoplasty,yes
44620,Repair bowel opening,yes
44625,Repair bowel opening,yes
44626,Repair bowel opening,yes
44640,Repair bowel-skin fistula,yes
44650,Repair bowel fistula,yes
44660,Repair bowel-bladder fistula,yes
44661,Repair bowel-bladder fistula,yes
44680,Surgical revision intestine,yes
44700,Suspend bowel w/prosthesis,yes
44799,Unlisted px small intestine,yes
44800,Excision of bowel pouch,yes
44820,Excision of mesentery lesion,yes
44850,Repair of mesentery,yes
44899,Bowel surgery procedure,yes
44900,Drain appendix abscess open,yes
44950,Appendectomy,yes
44960,Appendectomy,yes
44970,Laparoscopy appendectomy,yes
44979,Laparoscope proc app,yes
45000,Drainage of pelvic abscess,yes
45005,Drainage of rectal abscess,yes
45020,Drainage of rectal abscess,yes
45108,Removal of anorectal lesion,yes
45110,Removal of rectum,yes
45111,Partial removal of rectum,yes
45112,Removal of rectum,yes
45113,Partial proctectomy,yes
45114,Partial removal of rectum,yes
45116,Partial removal of rectum,yes
45119,Remove rectum w/reservoir,yes
45120,Removal of rectum,yes
45121,Removal of rectum and colon,yes
45123,Partial proctectomy,yes
45126,Pelvic exenteration,yes
45130,Excision of rectal prolapse,yes
45135,Excision of rectal prolapse,yes
45136,Excise ileoanal reservior,yes
45150,Excision of rectal stricture,yes
45160,Excision of rectal lesion,yes
45171,Exc rect tum transanal part,yes
45172,Exc rect tum transanal full,yes
45190,Destruction rectal tumor,yes
45300,Proctosigmoidoscopy dx,yes
45303,Proctosigmoidoscopy dilate,yes
45305,Proctosigmoidoscopy w/bx,yes
45307,Proctosigmoidoscopy fb,yes
45308,Proctosigmoidoscopy removal,yes
45309,Proctosigmoidoscopy removal,yes
45315,Proctosigmoidoscopy removal,yes
45317,Proctosigmoidoscopy bleed,yes
45320,Proctosigmoidoscopy ablate,yes
45321,Proctosigmoidoscopy volvul,yes
45327,Proctosigmoidoscopy w/stent,yes
45330,Diagnostic sigmoidoscopy,yes
45331,Sigmoidoscopy and biopsy,yes
45332,Sigmoidoscopy w/fb removal,yes
45333,Sigmoidoscopy & polypectomy,yes
45334,Sigmoidoscopy for bleeding,yes
45335,Sigmoidoscopy w/submuc inj,yes
45337,Sigmoidoscopy & decompress,yes
45338,Sigmoidoscopy w/tumr remove,yes
45340,Sig w/tndsc balloon dilation,yes
45341,Sigmoidoscopy w/ultrasound,yes
45342,Sigmoidoscopy w/us guide bx,yes
45346,Sigmoidoscopy w/ablation,yes
45347,Sigmoidoscopy w/plcmt stent,yes
45349,Sigmoidoscopy w/resection,yes
45350,Sgmdsc w/band ligation,yes
45378,Diagnostic colonoscopy,yes
45379,Colonoscopy w/fb removal,yes
45380,Colonoscopy and biopsy,yes
45381,Colonoscopy submucous njx,yes
45382,Colonoscopy w/control bleed,yes
45384,Colonoscopy w/lesion removal,yes
45385,Colonoscopy w/lesion removal,yes
45386,Colonoscopy w/balloon dilat,yes
45388,Colonoscopy w/ablation,yes
45389,Colonoscopy w/stent plcmt,yes
45390,Colonoscopy w/resection,yes
45391,Colonoscopy w/endoscope us,yes
45392,Colonoscopy w/endoscopic fnb,yes
45393,Colonoscopy w/decompression,yes
45395,Lap removal of rectum,yes
45397,Lap remove rectum w/pouch,yes
45398,Colonoscopy w/band ligation,yes
45399,Unlisted procedure colon,yes
45400,Laparoscopic proc,yes
45402,Lap proctopexy w/sig resect,yes
45499,Laparoscope proc rectum,yes
45500,Repair of rectum,yes
45505,Repair of rectum,yes
45520,Treatment of rectal prolapse,yes
45540,Correct rectal prolapse,yes
45541,Correct rectal prolapse,yes
45550,Repair rectum/remove sigmoid,yes
45560,Repair of rectocele,yes
45562,Exploration/repair of rectum,yes
45563,Exploration/repair of rectum,yes
45800,Repair rect/bladder fistula,yes
45805,Repair fistula w/colostomy,yes
45820,Repair rectourethral fistula,yes
45825,Repair fistula w/colostomy,yes
45900,Reduction of rectal prolapse,yes
45905,Dilation of anal sphincter,yes
45910,Dilation of rectal narrowing,yes
45915,Remove rectal obstruction,yes
45990,Surg dx exam anorectal,yes
45999,Rectum surgery procedure,yes
46020,Placement of seton,yes
46030,Removal of rectal marker,yes
46040,Incision of rectal abscess,yes
46045,Incision of rectal abscess,yes
46050,Incision of anal abscess,yes
46060,Incision of rectal abscess,yes
46070,Incision of anal septum,yes
46080,Incision of anal sphincter,yes
46083,Incise external hemorrhoid,yes
46200,Removal of anal fissure,yes
46220,Excise anal ext tag/papilla,yes
46221,Ligation of hemorrhoid(s),yes
46230,Removal of anal tags,yes
46250,Remove ext hem groups 2+,yes
46255,Remove int/ext hem 1 group,yes
46257,Remove in/ex hem grp & fiss,yes
46258,Remove in/ex hem grp w/fistu,yes
46260,Remove in/ex hem groups 2+,yes
46261,Remove in/ex hem grps & fiss,yes
46262,Remove in/ex hem grps w/fist,yes
46270,Remove anal fist subq,yes
46275,Remove anal fist inter,yes
46280,Remove anal fist complex,yes
46285,Remove anal fist 2 stage,yes
46288,Repair anal fistula,yes
46320,Removal of hemorrhoid clot,yes
46500,Injection into hemorrhoid(s),yes
46505,Chemodenervation anal musc,yes
46600,Diagnostic anoscopy spx,yes
46601,Diagnostic anoscopy,yes
46604,Anoscopy and dilation,yes
46606,Anoscopy and biopsy,yes
46607,Diagnostic anoscopy & biopsy,yes
46608,Anoscopy remove for body,yes
46610,Anoscopy remove lesion,yes
46611,Anoscopy,yes
46612,Anoscopy remove lesions,yes
46614,Anoscopy control bleeding,yes
46615,Anoscopy,yes
46700,Repair of anal stricture,yes
46705,Repair of anal stricture,yes
46706,Repr of anal fistula w/glue,yes
46707,Repair anorectal fist w/plug,yes
46710,Repr per/vag pouch sngl proc,yes
46712,Repr per/vag pouch dbl proc,yes
46715,Rep perf anoper fistu,yes
46716,Rep perf anoper/vestib fistu,yes
46730,Construction of absent anus,yes
46735,Construction of absent anus,yes
46740,Construction of absent anus,yes
46742,Repair of imperforated anus,yes
46744,Repair of cloacal anomaly,yes
46746,Repair of cloacal anomaly,yes
46748,Repair of cloacal anomaly,yes
46750,Repair of anal sphincter,yes
46751,Repair of anal sphincter,yes
46753,Reconstruction of anus,yes
46754,Removal of suture from anus,yes
46760,Repair of anal sphincter,yes
46761,Repair of anal sphincter,yes
46762,Implant artificial sphincter,yes
46900,Destruction anal lesion(s),yes
46910,Destruction anal lesion(s),yes
46916,Cryosurgery anal lesion(s),yes
46917,Laser surgery anal lesions,yes
46922,Excision of anal lesion(s),yes
46924,Destruction anal lesion(s),yes
46930,Destroy internal hemorrhoids,yes
46940,Treatment of anal fissure,yes
46942,Treatment of anal fissure,yes
46945,Remove by ligat int hem grp,yes
46946,Remove by ligat int hem grps,yes
46947,Hemorrhoidopexy by stapling,yes
46999,Anus surgery procedure,yes
47010,Open drainage liver lesion,yes
47015,Inject/aspirate liver cyst,yes
47120,Partial removal of liver,yes
47122,Extensive removal of liver,yes
47125,Partial removal of liver,yes
47130,Partial removal of liver,yes
47135,Transplantation of liver,yes
47136,Transplantation of liver,yes
47140,Partial removal donor liver,yes
47141,Partial removal donor liver,yes
47142,Partial removal donor liver,yes
47143,Prep donor liver whole,yes
47300,Surgery for liver lesion,yes
47350,Repair liver wound,yes
47360,Repair liver wound,yes
47361,Repair liver wound,yes
47362,Repair liver wound,yes
47370,Laparo ablate liver tumor rf,yes
47371,Laparo ablate liver cryosurg,yes
47379,Laparoscope procedure liver,yes
47380,Open ablate liver tumor rf,yes
47381,Open ablate liver tumor cryo,yes
47382,Percut ablate liver rf,yes
47383,Perq abltj lvr cryoablation,yes
47399,Liver surgery procedure,yes
